Word                           CF TF-IDF
-----------------------------------
plenk2010                      14.36406404364713
plenk                          12.412003607574011
moncton                        5.625896097003629
aboiteaux                      5.625896097003629
nvivo                          4.70400120252467
rue                            4.70400120252467
lazer                          4.083930731335753
hine                           4.083930731335753
visibly                        4.083930731335753
producers                      4.0410160109117825
ethnography                    3.484031406894106
nrc                            3.3693341350164467
dell                           3.3693341350164467
national research council      2.9851273451351923
parry                          2.8273440072745215
nonexistent                    2.5419653656678767
perrott                        2.5419653656678767
social networks adapting pedagogical 2.5419653656678767
yahoo groups                   2.5419653656678767
macy                           2.5419653656678767
