Word                           CF TF-IDF
-----------------------------------
eas                            112.41251234917704
revenue                        55.421349767837164
discontinuing                  25.072251255152846
fees                           22.857600530991405
atet                           17.961619022346643
tuition                        13.425155595688588
band                           12.484624416916565
discontinued                   10.423048032735348
discontinues                   10.251792194007258
sample size                    10.251792194007258
psm                            8.10800240504934
standard error                 7.167861462671506
discontinuation                7.167861462671506
caliendo                       7.167861462671506
ate                            6.270378458606061
caufield                       5.625896097003629
imputed                        5.625896097003629
new england armidale           4.354688014549044
kopeinig                       4.083930731335753
wage                           4.083930731335753
