Word                           CF TF-IDF
-----------------------------------
bridge report                  8.709826828339382
ela                            3.3693341350164467
grade level                    3.3693341350164467
new york city                  3.3693341350164467
pew research center            2.5419653656678767
abstract widespread            2.5419653656678767
lexile                         2.5419653656678767
loop effectively               2.5419653656678767
parent feedback overall        2.5419653656678767
tearing                        2.5419653656678767
student test score reports     2.5419653656678767
current practices              2.5419653656678767
aaronhawn                      2.5419653656678767
teacher view                   2.5419653656678767
iep status                     2.5419653656678767
education week                 2.5419653656678767
motif                          2.5419653656678767
home broadband                 2.5419653656678767
zickuhr                        2.5419653656678767
administrations                2.5419653656678767
