Word                           CF TF-IDF
-----------------------------------
bipartite                      49.68962304495554
slices                         14.629874348318515
biclique                       11.793757559675136
subcommunity                   11.377336540065787
slice                          11.164136096541126
bicliques                      7.167861462671506
gills                          7.167861462671506
preparations                   6.038668270032893
biclique communities           5.625896097003629
palla                          4.70400120252467
vicsek                         4.70400120252467
subcommunities                 4.40400120252467
lotharstraﬂe                   4.10400120252467
initialization                 4.083930731335753
matchballs                     4.083930731335753
subgroup                       3.678066225728873
born                           3.484031406894106
cbt                            3.3693341350164467
ziebarth                       3.3693341350164467
exhaustively                   2.8273440072745215
