Word                           CF TF-IDF
-----------------------------------
oua                            95.05988730574047
flagged                        8.568876907889205
tmas                           7.382032021823566
interviewee                    6.331963805315447
tma                            5.868360018186305
rqs                            4.083930731335753
torgerson                      4.083930731335753
vpn                            4.083930731335753
christmas                      4.083930731335753
suspicions                     4.083930731335753
leeuwen                        3.7410160109117827
open university walton hall    3.535749794205846
seventy                        3.3693341350164467
ou analyse                     3.0693341350164465
flagging                       2.9851273451351923
brekelmans                     2.8273440072745215
bart                           2.5419653656678767
systematised                   2.5419653656678767
student support services       2.5419653656678767
galina naydenova               2.5419653656678767
