Word                           CF TF-IDF
-----------------------------------
block                          26.85484061662251
rt                             23.67526261975521
lo                             16.89815806187002
cp                             9.299488866951076
rmsd                           8.709826828339382
average effort                 8.709826828339382
ff                             4.083930731335753
liberec                        4.083930731335753
pablos                         4.083930731335753
bodea                          4.083930731335753
vance                          4.0410160109117825
tensor                         3.3693341350164467
serina                         2.5419653656678767
luque                          2.5419653656678767
proximates                     2.5419653656678767
martin hlosta1 zdenek zdrahal1 2.5419653656678767
mohora                         2.5419653656678767
drumond                        2.5419653656678767
michal bohuslavek1             2.5419653656678767
michal                         2.5419653656678767
