Word                           CF TF-IDF
-----------------------------------
cla                            19.600261724117548
lrs                            16.095891415946344
jeff                           11.793757559675136
stackexchange                  10.423048032735348
docs                           10.109376029098087
cl                             6.468360018186305
unify                          5.625896097003629
locker                         4.70400120252467
wordpress                      4.50854557522532
scraper                        4.083930731335753
objecttype                     4.083930731335753
wordpress post vote            4.083930731335753
scraped                        4.0410160109117825
scraping                       4.0410160109117825
dia                            3.484031406894106
usernames                      3.4102338184731864
lrss                           3.0693341350164465
groupwork                      2.8273440072745215
nominated                      2.8273440072745215
inb302                         2.5419653656678767
