Word                           CF TF-IDF
-----------------------------------
doer                           26.05867428265624
quintile                       22.489340147639798
oli                            15.15305979530935
lmer                           7.167861462671506
generalizes                    5.625896097003629
doer effect                    4.083930731335753
umuc                           4.083930731335753
stnd                           4.083930731335753
coef                           3.412041875858808
mellon university              3.3693341350164467
pageviews                      3.0693341350164465
renkl                          2.8273440072745215
maryland university college    2.5419653656678767
normalizes                     2.5419653656678767
echo library.k                 2.5419653656678767
important kenneth              2.5419653656678767
location normalized estimate std 2.5419653656678767
deemphasized                   2.5419653656678767
derbish                        2.5419653656678767
evaluation practice            2.5419653656678767
