Word                           CF TF-IDF
-----------------------------------
teamwork                       59.22843473735182
tsdl                           36.46520341036116
dispositional                  9.052094220682317
p.a.                           7.231963805315448
phielix                        7.073335337541117
fgds                           5.625896097003629
salas                          5.625896097003629
fgd                            5.625896097003629
misaligned                     5.2546880145490436
overtly                        4.70400120252467
goodwin                        4.083930731335753
self diagnostic learning       4.083930731335753
frameworks for                 4.083930731335753
self diagnostic learning framework 4.083930731335753
reflector                      4.083930731335753
concurred                      4.083930731335753
d.a.                           4.083930731335753
framewwork                     4.083930731335753
kayes                          4.083930731335753
worksheets                     3.3693341350164467
