Word                           CF TF-IDF
-----------------------------------
coi                            31.67469168144205
mcklin                         16.419653656678765
mdg                            14.877688291010891
liwc                           10.961999451215592
corich                         10.251792194007258
mtry                           10.251792194007258
impurity                       8.70800240504934
presences                      8.70800240504934
acat                           7.167861462671506
givenness                      7.167861462671506
forests                        7.082514400641009
smote                          6.468876907889206
qca                            5.625896097003629
sages                          4.8085455752253194
holsti                         4.70400120252467
caret                          4.40400120252467
oob                            4.083930731335753
crfs                           4.083930731335753
mean decrease gini             4.083930731335753
cfm                            4.083930731335753
