Word                           CF TF-IDF
-----------------------------------
rmn_score                      8.709826828339382
cms                            8.076529897654675
oaai                           7.48010468964702
r_sessions                     7.373335337541117
sakai                          6.9769169906971555
cum_gpa                        5.625896097003629
sat_verbal                     5.625896097003629
gradable                       5.625896097003629
joshua d. baron                4.083930731335753
academic_standing              4.083930731335753
venniraiselvi sundararaju      4.083930731335753
mallika devireddy              4.083930731335753
balance training data          4.083930731335753
partition data                 4.083930731335753
marist                         3.7820320218235652
r_content_read                 3.3693341350164467
ftpt                           3.3693341350164467
attains                        2.8273440072745215
academic risk                  2.5419653656678767
feature type feature name      2.5419653656678767
