Word                           CF TF-IDF
-----------------------------------
mentors                        20.856789284077394
ews                            19.36020937929404
laffey                         3.3693341350164467
galyen                         3.3693341350164467
tea2                           2.5419653656678767
michigan science               2.5419653656678767
summary display                2.5419653656678767
mstem academy                  2.5419653656678767
findings data                  2.5419653656678767
mathematics academy            2.5419653656678767
cracks                         2.5419653656678767
bsp                            2.5419653656678767
biology scholars program       2.5419653656678767
check my                       2.5419653656678767
academic advisors steven lonn university 2.5419653656678767
guy meadows                    2.5419653656678767
andrew e. krumm university     2.5419653656678767
acclaim                        2.5419653656678767
moffitt                        2.5419653656678767
joseph waddington university   2.5419653656678767
