Word                           CF TF-IDF
-----------------------------------
lifecycles                     10.042669472557563
prototypes                     9.649952042935475
ux                             9.442669472557563
latux                          8.38010468964702
authenticity                   7.261223918123739
generalisable                  7.167861462671506
tabletops                      5.868876907889207
iso                            4.083930731335753
mendiburo                      4.083930731335753
radars                         4.083930731335753
hartson                        4.083930731335753
prototyping                    3.396003438270098
mtdashboard                    3.3693341350164467
bevan                          3.3693341350164467
designer                       2.8609838432167534
distil                         2.8273440072745215
mexico                         2.8273440072745215
case study                     2.8273440072745215
featured                       2.7481870547785494
helms                          2.5419653656678767
