Word                           CF TF-IDF
-----------------------------------
stemscopes                     38.03750411639235
scopes                         24.72400721514802
progress monitoring            7.167861462671506
wayman                         4.70400120252467
acceleration                   4.3459179385928035
unwittingly                    4.083930731335753
standard assessment            4.083930731335753
bscs                           4.083930731335753
teks                           4.083930731335753
prefix                         4.083930731335753
urbanicity                     3.3693341350164467
sigmod                         3.3693341350164467
schoolteachers                 3.3693341350164467
tremendously                   3.3693341350164467
fifty                          3.1840314068941056
loan                           2.8273440072745215
digital learning               2.8273440072745215
complex domains                2.5419653656678767
calculat                       2.5419653656678767
darilek                        2.5419653656678767
