Word                           CF TF-IDF
-----------------------------------
ridt                           46.0786802952796
ola                            13.746670675082234
lcdm                           13.335722925343012
generator                      9.576529897654675
rule engine                    8.709826828339382
l2p                            8.709826828339382
controllers                    7.995704025460828
thu                            6.468360018186305
informatik                     6.468360018186305
rwth aachen                    6.038668270032893
drools                         5.625896097003629
gqi                            5.625896097003629
greven                         4.70400120252467
web technologies               4.40400120252467
knime                          4.40400120252467
servlet                        4.083930731335753
robject                        4.083930731335753
dispatcher                     4.083930731335753
pipelining                     4.083930731335753
handler mapping                4.083930731335753
