Word                           CF TF-IDF
-----------------------------------
connexions                     16.71600481009868
irs                            14.877688291010891
reuse                          12.531712776276908
lorps                          11.793757559675136
lotka                          11.793757559675136
ocws                           9.742669472557564
reused                         9.46389783470419
lorf                           7.167861462671506
lorfs                          7.167861462671506
learnometrics                  6.038668270032893
tau                            5.625896097003629
learning object                5.625896097003629
informetric                    5.625896097003629
lors                           5.625896097003629
freshmeat                      5.625896097003629
lor                            5.625896097003629
learning object economy        5.625896097003629
lorp                           5.625896097003629
scientometrics                 4.8085455752253194
learnrank                      4.083930731335753
