Word                           CF TF-IDF
-----------------------------------
visual studio                  7.167861462671506
lab school                     4.083930731335753
bluej                          4.083930731335753
university pullman             4.083930731335753
computer science washington    4.083930731335753
cs2                            4.083930731335753
carter                         3.3693341350164467
ide                            2.8468364601802563
black box                      2.8273440072745215
a.s.                           2.8273440072745215
blackbox                       2.5419653656678767
education daniel               2.5419653656678767
injecting                      2.5419653656678767
empirical study                2.5419653656678767
course success                 2.5419653656678767
eleventh annual international conference 2.5419653656678767
olivares                       2.5419653656678767
outgrowth                      2.5419653656678767
osble                          2.5419653656678767
jadud                          2.5419653656678767
