Word                           CF TF-IDF
-----------------------------------
open days                      58.052718529711434
portal                         55.47520558699004
bounces                        14.877688291010891
loyalty                        12.536720036372609
visitation                     8.709826828339382
agriculture                    8.70800240504934
page views                     7.167861462671506
symbolized                     7.167861462671506
loyal                          7.167861462671506
portals                        6.611249418389859
visitor                        6.553570928358271
bounce                         5.625896097003629
hungary                        4.70400120252467
visitors                       4.278066225728873
open days visits               4.083930731335753
agroecology                    4.083930731335753
ppv                            4.083930731335753
organic agriculture            4.083930731335753
direct search engines refer    4.083930731335753
fluctuate                      4.0410160109117825
