Word                           CF TF-IDF
-----------------------------------
knn                            16.550671877606902
cba                            16.2506718776069
eff                            13.335722925343012
treebagger                     11.793757559675136
tit                            10.251792194007258
ens                            10.042669472557563
anns                           7.167861462671506
resubstitution                 7.167861462671506
nb                             6.648874622710719
ipps                           5.625896097003629
msec                           5.625896097003629
sla                            5.295704025460828
macedonia                      4.354688014549044
ttaw                           4.20800240504934
egnatia avenue                 4.10400120252467
resub                          4.083930731335753
comput educ                    4.083930731335753
barua                          4.083930731335753
belk                           4.083930731335753
wrongly                        4.012041875858808
