Word                           CF TF-IDF
-----------------------------------
cytoscape                      3.3693341350164467
ern                            3.3693341350164467
lausanne rlc d1                3.0693341350164465
federale                       2.7693341350164467
ecole                          2.7693341350164467
localizing                     2.5419653656678767
pyramidal implementation       2.5419653656678767
eras                           2.5419653656678767
mations                        2.5419653656678767
digiano                        2.5419653656678767
classsync                      2.5419653656678767
chestration                    2.5419653656678767
ridgeway                       2.5419653656678767
oxford series                  2.5419653656678767
science of social vision       2.5419653656678767
advices                        2.5419653656678767
synergy of multiple disciplines 2.5419653656678767
turer                          2.5419653656678767
unintrusive                    2.5419653656678767
shimojo                        2.5419653656678767
