Word                           CF TF-IDF
-----------------------------------
scimathtech                    39.54913414169691
socsci                         39.54913414169691
pubsoc                         33.381272679025415
social services                16.419653656678765
interdisciplinary studies      14.877688291010891
healthmed                      14.877688291010891
busi                           14.877688291010891
inter                          10.45988158665787
majors                         10.207831347752245
artsh                          8.709826828339382
multiple comparisons           7.167861462671506
whitneyu                       7.167861462671506
pairwise mean ranks            7.167861462671506
carelessness                   6.782514400641009
personal services              4.083930731335753
trades                         4.083930731335753
student knowledge              4.083930731335753
college board                  2.8273440072745215
maria o                        2.5419653656678767
assistments system             2.5419653656678767
