Word                           CF TF-IDF
-----------------------------------
idr                            19.503584388014517
phoenix                        18.260712785074816
hadoop                         11.93672003637261
zip                            8.895704025460828
staging                        7.373335337541117
sperling                       5.625896097003629
pyramid                        5.2546880145490436
tableau                        4.612041875858807
john sperling                  4.083930731335753
modelers                       4.083930731335753
golden gate                    4.083930731335753
oracle                         3.7410160109117827
registrar                      3.3693341350164467
licensing                      2.8273440072745215
strewn                         2.5419653656678767
rung                           2.5419653656678767
trite                          2.5419653656678767
galaxy student                 2.5419653656678767
osiris students                2.5419653656678767
lumped                         2.5419653656678767
