Word                           CF TF-IDF
-----------------------------------
abstracts                      21.10919583449376
selber                         7.167861462671506
rude                           6.038668270032893
communication analysis         5.625896097003629
reverses                       5.625896097003629
gurak                          5.625896097003629
magnifies                      5.625896097003629
longo                          5.625896097003629
dombrowski                     5.625896097003629
bowker                         4.954688014549044
challenger                     4.083930731335753
galpin                         4.083930731335753
spurious coin                  4.083930731335753
evolving face                  4.083930731335753
rhodes                         4.046836460180256
xavier ochoa                   4.0410160109117825
erik duval                     3.484031406894106
dan suthers                    3.1840314068941056
dragan gasevic                 2.9851273451351923
vrie                           2.8273440072745215
