Word                           CF TF-IDF
-----------------------------------
ergms                          11.692146565505828
bde                            8.709826828339382
op                             8.10800240504934
connectedness                  5.918929761359129
puzzling                       4.083930731335753
duijn                          4.083930731335753
repliers                       4.083930731335753
alt                            3.6085455752253193
hubs                           3.445917938592804
snijders                       3.3693341350164467
erd                            3.3693341350164467
curved                         3.3693341350164467
nodal                          3.3693341350164467
statnet                        2.584031406894106
nowicki                        2.5419653656678767
mathematicae                   2.5419653656678767
statistica neerlandica         2.5419653656678767
sweet                          2.5419653656678767
bernoulli model                2.5419653656678767
content resources discussion   2.5419653656678767
