Word                           TF-IDF
-----------------------------------
data                           122.4457988510542
linked                         98.18064509264548
lattice                        95.86589356369319
linked data                    79.92962836732703
mining                         78.60153769140373
patterns                       69.6994754416194
sequential                     67.74311343691065
analyst                        64.58312562825154
dimension                      48.491301699178884
dse212                         42.979191865583786
enrolment                      42.34150993527699
course                         39.37342886415327
chain                          37.39023062688247
dd100                          36.83930731335753
dimensions                     36.46402199494112
items                          36.148182290159106
subjects                       35.38267272714185
uris                           35.31901341820276
endpoint                       35.31901341820276
interpretation                 35.1788042922751
