Word                           TF-IDF
-----------------------------------
pattern                        26.539302381478116
learning                       22.42538601092163
students                       20.840991810370298
recommendations                15.627437997831908
student                        12.433392148797536
pattern pattern                12.27976910445251
data                           11.894734745530979
tabuenca                       10.897780450054823
student empowerment            10.897780450054823
street west lafayette          10.897780450054823
fitness                        10.585377483819247
awareness                      9.646273718799783
linden drive madison           9.078060766967093
pilot                          8.843110174963691
regulated                      8.397935377141604
winne                          8.305644938108328
tool                           8.181820729145896
reflective                     8.17014793897754
habits                         8.130205095775342
tinto                          7.919508816498672
