Word                           TF-IDF
-----------------------------------
gestures                       117.81852206364752
teachlive                      55.2589609700363
teachers                       42.340959623990585
gesture                        41.53872637667095
algebra                        39.13273380555037
biology                        33.22257975243331
alibali                        27.244451125137058
virtual                        26.822532016459895
nonverbal                      21.794216496091124
barmaki                        18.419653656678765
lesson                         17.563029409569424
iconic                         15.136720036372608
speech                         14.422839720368568
roth                           14.28010468964702
sessions                       13.443530720114111
real                           13.36594692567618
classroom                      12.51565251561064
lakoff                         12.27976910445251
central florida                12.27976910445251
video                          12.046075863674071
