Word                           TF-IDF
-----------------------------------
course                         90.99636893048756
pass                           57.67912469375637
models                         54.50964924273223
_1w_quizattempt                49.11907641781004
false                          44.56549621326972
offerings                      41.98967688570802
data                           41.98141674893287
features                       41.00642076097523
predictive                     40.92107671556844
true                           38.25758717726991
_3d_quizattempt                36.83930731335753
negatives                      35.637789674244026
mooc                           33.69286102217981
explanatory                    33.591741508566415
may                            33.45368726904914
resources                      32.15825927475652
accuracy                       30.84288553400217
passing                        30.45403143973054
fail                           30.265739428783192
tree                           28.611157488099753
