Word                           TF-IDF
-----------------------------------
kb                             35.31901341820276
discourse                      28.18244885556112
topics                         19.158037467738094
knowledge                      13.987566167397228
travels                        12.27976910445251
linear embedding               12.27976910445251
semantic                       11.92705562981483
space                          11.604784134054446
notes                          11.364399284393947
communal                       10.091146690915073
forum                          9.858595170043394
scardamalia                    9.552853140295746
oshima                         9.520069793098013
light                          8.985897683486971
topic                          8.747802300936222
online                         7.922559234451591
views                          7.8056771710229755
probabilistic                  7.396009660781709
text                           7.385003540463414
encyclopedia                   7.2009369935397665
