Word                           TF-IDF
-----------------------------------
learning                       32.93728570354114
failures                       28.658559420887237
presenters                     25.227866727287683
mistakes                       24.916934814324986
analytics                      20.65360535862531
open university                18.27023563904837
senior lecturer                16.346670675082233
lace                           15.687812344966044
organisers                     15.426041181991549
unisa                          13.61709115045064
failure                        12.77438173581469
projects                       12.454893203600962
chairing                       12.27976910445251
workshop                       11.509723931867981
chatham house rule             10.897780450054823
solar flares                   10.897780450054823
successes                      10.197335625513402
publicise                      10.091146690915073
welten institute               10.091146690915073
practitioners                  9.17198997337354
