Word                           TF-IDF
-----------------------------------
gcm                            98.0800240504934
la                             59.90124357736694
statements                     53.65580794480374
lasi                           52.36038386203907
clusters                       49.25926116563685
true                           47.82198397158739
false                          42.443329726923544
empowerment                    42.06822545648791
dutch                          38.077165845281705
feasibility                    37.11727725095001
personalization                36.07683026788501
sorting                        35.28459161273083
learning                       32.93728570354114
risks                          31.84284380098582
cluster                        30.987367234510238
teacher empowerment            30.699422761131277
rating                         24.65336553593903
students empowerment           24.55953820890502
economics                      19.818280205540837
bridging                       19.230452960491423
