Word                           TF-IDF
-----------------------------------
programming                    46.21963557534299
pair                           39.44538485750245
collaboration                  29.24898988496277
cps                            28.56020937929404
sri international princeton    24.55953820890502
cs                             20.394671251026804
multimodal                     20.253685727886424
mailto                         17.82863748590968
pairs                          16.826646340429996
navigator                      16.346670675082233
driver                         13.846242125556984
solving                        13.443530720114111
sri international menlo park   12.27976910445251
blockly                        12.27976910445251
data                           11.195044466382098
quality                        11.147062717413727
pilot                          11.053887718704614
body                           11.006387968048248
data capture                   10.897780450054823
clickstream                    10.197335625513402
