Word                           TF-IDF
-----------------------------------
media                          49.207755593217165
social                         48.245689885291334
true                           47.82198397158739
false                          42.443329726923544
learning                       28.73252582649334
networks                       22.764899228132144
bc canada                      21.795560900109646
gruzd                          21.794216496091124
panelists                      18.156121533934186
haythornthwaite                17.39141115060206
east mall vancouver            16.346670675082233
twitter                        15.77452294377245
columbia                       13.362291039382882
online                         13.204265390752653
studying                       12.91713392247302
class                          12.461540445402715
social media age               12.27976910445251
teaching                       12.268204380933174
data                           11.894734745530979
educators                      11.552282846475258
