Word                           TF-IDF
-----------------------------------
homework                       62.48856445867122
blogosphere                    61.88045365513709
participation                  56.11817800516699
assignment                     42.99834336641998
students                       33.49445112380941
posts                          30.707188063917375
student                        28.7522193440943
grade                          28.46052740777241
grades                         26.110902657499956
critiques                      24.45249931401949
learning                       22.42538601092163
failure                        21.898940118539468
peer                           19.100201997350112
reads                          16.702863799228602
alarms                         14.28010468964702
model                          13.859996572849129
collaborative                  13.412261228747084
content                        12.51571324506577
progress                       12.382975468670105
notified                       12.226249657009745
