Word                           TF-IDF
-----------------------------------
policy                         105.66381527959331
information                    64.33656881845658
records                        47.094459198707675
data                           41.98141674893287
surveillance                   33.86980844007036
privacy                        33.515344220969986
lifecycle                      33.10567338821977
policies                       31.50964645150611
braman                         30.699422761131277
government                     29.08582749369795
freedom                        27.0918926346118
analytics                      26.008243784935573
learning                       24.527765949445534
forgotten                      20.377082761682907
nd                             19.79877204124668
relating                       19.099498377115594
amendment                      19.040139586196027
pasek                          18.419653656678765
american library association   18.419653656678765
may                            18.399527997977028
