Word                           TF-IDF
-----------------------------------
indexing                       90.98931160080305
examparser                     73.67861462671506
exam                           71.48879446605346
exams                          61.10803424182305
eduanalysis                    59.93779247530153
declarative                    47.517052898992034
learning                       44.85077202184326
concept                        41.261454698860256
teachers                       37.04833967099176
concepts                       36.82896904401159
analytics                      36.717520637556106
semantic                       35.78116688944449
orchestration                  32.854955122095966
cs1                            30.273440072745217
question                       29.01738514865419
semantics                      28.98568525100343
indexed                        27.19289500136907
visual                         27.136021274029652
questions                      26.598990515460805
procedural                     25.55038473562083
