Word                           TF-IDF
-----------------------------------
data                           44.780177865528394
di                             39.636560411081675
widget                         38.56510295497887
erent                          37.11727725095001
dashboard                      35.79178899101783
widgets                        30.592006876540204
visualisations                 29.584038643126835
rdap                           25.227866727287683
learning                       24.527765949445534
ribbon                         21.795560900109646
slider                         21.170754967638494
hues                           18.419653656678765
cois                           18.419653656678765
ers                            16.556180055070698
squared                        16.427477561047983
designers                      16.04480502303961
usage                          15.485026060239509
design                         15.258770418953254
display                        15.152532379191928
caching                        15.136720036372608
