Word                           TF-IDF
-----------------------------------
estimation                     142.4993403155673
x                              80.13583330968106
ev                             73.35749794205847
duration                       69.1253974557506
spent                          68.94297666936194
strategies                     62.29028910516645
learning                       58.866638278669285
actions                        58.20985392395742
measures                       58.02399368444941
time                           57.27180741145438
tma2                           55.2589609700363
action                         49.86442028322439
grade                          46.95987022282448
count                          44.929488417434854
tma3                           42.979191865583786
min                            42.71144165872475
data                           41.98141674893287
last                           40.10012159205956
limit                          39.89057355779098
addposttime                    36.83930731335753
