Word                           TF-IDF
-----------------------------------
data                           49.67800981957056
sakai                          48.92305663565718
oaai                           47.60034896549007
cms                            43.58843299218225
academic                       35.02365169924873
rmn_score                      30.699422761131277
marist                         30.273440072745217
predictive                     28.64475370089791
r_sessions                     27.244451125137058
models                         25.820360167610005
svm                            24.23092371972472
marist college                 23.800174482745035
classifier                     23.661784415658676
student                        21.758436260395687
gradebook                      20.377082761682907
gradable                       18.419653656678765
sat_verbal                     18.419653656678765
cum_gpa                        18.419653656678765
course                         17.499301717401455
risk                           17.447534268521242
