Word                           TF-IDF
-----------------------------------
faculty                        30.305064758383857
lacs                           24.55953820890502
learning                       22.42538601092163
institutional                  22.35913855053839
lac                            21.795560900109646
bva                            18.419653656678765
analytics                      16.828863625546546
change                         16.304929184981628
transformation                 15.77452294377245
workshop                       14.387154914834976
participants                   13.557542593257573
communities                    13.55183534663333
campus                         13.145435786477043
kansas                         12.27976910445251
institutions                   11.018773060620402
fellows                        10.897780450054823
la                             10.570807690123578
leaders                        10.126842863943212
kotter                         10.091146690915073
success                        9.900488249865099
