Word                           TF-IDF
-----------------------------------
bkt                            88.6997367964514
index                          47.68526248016626
skill                          44.930845495941576
parameters                     42.91605122633584
rss                            42.06822545648791
difficulty                     39.93678599445932
oli psychology                 36.83930731335753
rmse                           33.86980844007036
fitting                        27.456429671742097
datasets                       26.871822540663587
oli                            26.153059795309346
identifiability                25.227866727287683
martori                        24.55953820890502
vs                             23.661784415658676
dataset                        22.28494467425735
g                              22.265521924307393
minima                         21.795560900109646
parabolic                      21.795560900109646
skills                         21.263007499168275
polynomial                     20.182293381830146
