Word                           TF-IDF
-----------------------------------
super user                     202.61619022346642
visualisation                  186.51780857003206
reputation                     122.36802750616081
organisational                 97.26443653878947
community                      90.44195660187005
communities                    72.27645518204443
users                          71.56534946569857
rep                            55.5013068000329
peer production                55.2589609700363
reflection                     48.95314411156739
comments                       48.040302356746565
heer                           47.60034896549007
matrices                       46.768018637840086
visualisations                 44.376057964690254
adjacency                      43.58843299218225
social                         41.49129330135055
network                        40.490046184456396
user                           39.36291030232472
wikipedia                      36.746300358302925
learning                       35.74045895490635
