Word                           TF-IDF
-----------------------------------
tailoring                      56.44968073345059
physics                        56.316103846293146
advice                         45.57079288774445
bte                            42.979191865583786
students                       41.681983620740596
tailored                       38.32557710343124
e2coach                        38.08027917239205
student                        27.198045325494608
coaching                       26.343184342276942
portrait                       25.227866727287683
chcr                           24.55953820890502
stem                           23.651685792958137
dispersion                     21.034112728243954
michigan                       20.800077066894627
introductory                   19.3905516624653
untailored                     18.419653656678765
testimonials                   18.419653656678765
church st.                     18.419653656678765
mts                            18.419653656678765
preparation                    18.382832862699463
