Word                           TF-IDF
-----------------------------------
learning                       96.70947717209954
provision                      93.68278903656831
disciplinary                   79.42583393329996
relations                      79.29243686159312
data                           77.6656209855258
pedagogy                       73.59499718196182
epistemic                      67.90360783256736
curriculum                     65.18664742242873
knowledge                      62.94404775328752
fg4                            61.398845522262555
fg2                            61.398845522262555
practices                      59.313341129611615
students                       58.801369750687634
emma                           54.488902250274116
year                           51.41561925605618
category                       49.87807830504718
student                        49.73356859519014
legitimation                   49.11907641781004
condenses                      49.11907641781004
maton                          47.60034896549007
