Word                           TF-IDF
-----------------------------------
recordings                     163.61599959030852
lecture                        125.27283485225281
quiz                           98.55318173101301
rho                            87.18224360043858
recording                      72.71456873424486
clas                           70.63802683640552
students                       61.03433315894159
spearman                       60.2129927823473
portion                        46.930086538577626
accessed                       43.57315994860967
data                           31.48606256169965
correlation                    29.31695715570391
learning                       25.228559262286836
instructors                    25.012801239426047
lecture recordings             24.55953820890502
question                       22.569077337842145
scores                         21.103850867580544
quizzes                        20.793578694577555
content                        20.217690626644707
assessment                     19.200853221998813
