Word                           TF-IDF
-----------------------------------
conversations                  96.59350937310569
regular                        90.64187929337783
forum                          62.437769410274825
participants                   58.74935123744948
mooc                           57.476057037836156
contributors                   56.457352038713985
network                        49.632959839011065
course                         41.99832412176349
betweenness                    33.99111875171134
influential                    29.207772170887633
cohort                         27.77143040810492
stage                          26.822532016459895
social                         25.087758740351497
solar energy                   24.55953820890502
ergm                           23.800174482745035
group                          22.599415753717672
moocs                          22.572965996868312
interactions                   22.059013805334157
learners                       21.331335377318112
cognitive                      20.92417669797967
