Word                           TF-IDF
-----------------------------------
footprint                      76.28446315038376
learning                       57.46505165298668
sal                            55.2589609700363
conceptions                    48.8114305275415
videos                         48.523847490829645
sequences                      45.16297422310235
students                       43.170625892909904
approaches                     36.19108606980255
course                         34.123638348932836
materials                      31.351816049971998
data                           28.687301445104126
surface                        28.105423209182913
problem                        25.44567877733945
eqc                            24.55953820890502
eqi                            24.55953820890502
experience                     22.600551640250167
student                        20.981349251095843
notes                          20.834732021388902
fragmented                     20.377082761682907
qualitative                    20.073690316400278
