Word                           TF-IDF
-----------------------------------
partitioning                   36.78408154246641
recursive                      36.678748971029236
students                       35.72741453206337
predictive                     35.46493315349265
learning                       32.93728570354114
models                         27.73297943928482
exc                            27.244451125137058
tree                           26.22689436409144
mae                            26.153059795309346
eqt                            24.55953820890502
node                           23.651685792958137
rmse                           22.579872293380237
midterm                        22.289990660690073
exercise                       22.188028982345127
feedback                       22.1799033109931
week                           21.081369635476854
performance                    20.956971497708242
instructors                    20.598777491292037
course                         20.12419697501167
predicted                      19.768974903671335
