Word                           TF-IDF
-----------------------------------
attribution                    77.43291449439505
prior                          63.079249351931324
individualization              56.44968073345059
efficacy                       45.59790152516794
stats                          45.390303834835464
pps                            42.979191865583786
event                          42.49156969873848
transition                     36.31648591829105
learning                       35.039665642065046
perf                           32.69334135016447
probability                    32.18703841975188
model                          32.05124207471361
knowledge                      31.08348037199384
college writing                30.699422761131277
kt                             28.56020937929404
component                      27.932686315122947
single                         27.577767168026902
priors                         25.227866727287683
split                          25.222155002905396
cold                           23.139061772987322
