Word                           TF-IDF
-----------------------------------
movement                       26.016854372253952
lecture                        23.602128305496905
attention                      23.5276533904732
classroom                      16.687536687480854
orchestration                  16.427477561047983
class                          15.860142385058001
tention                        15.839017632997344
teacher                        14.367435742871624
spatial                        12.372425750316669
motion                         12.040841170938577
learning                       11.212693005460816
pages                          10.912287124151584
ecole                          10.897780450054823
federale                       10.897780450054823
ern                            10.897780450054823
cytoscape                      10.897780450054823
lausanne rlc d1                10.897780450054823
lecturer                       10.585377483819247
polytechnique                  10.091146690915073
students                       9.676174769100497
