Word                           TF-IDF
-----------------------------------
true                           47.82198397158739
false                          42.443329726923544
student                        18.650088223196303
students                       17.11938612994703
instructor                     16.959684045863796
guides                         12.372425750316669
lecture clouds                 12.27976910445251
city                           11.885758323939786
mining                         11.528225528072547
class                          11.328673132184285
data                           10.495354187233218
schematic                      9.520069793098013
instructors                    8.828047496268017
documenti                      8.802797854360168
insert                         8.71768659843645
acrobat                        8.69570557530103
adobe reader                   8.69570557530103
questions                      7.599711575845944
notes                          7.576266189595964
per                            7.275653251631939
