Word                           TF-IDF
-----------------------------------
ali                            404.6248969671305
assistments                    173.35470563372783
testbed                        165.7768829101089
rces                           85.95838373116757
posttest                       75.26624097793413
data                           72.06809875233476
file                           64.52134438478808
assignment                     63.63754818230157
student                        57.5044386881886
researchers                    56.797615228281636
learning infrastructure        55.2589609700363
condition                      53.406596938663306
experiment                     52.64604916027508
control                        50.02560247885209
conditions                     49.41605010397364
researcher                     47.01557353494398
within                         45.476869307480285
attrition                      45.1620756246071
routing                        43.59112180021929
rserve                         42.979191865583786
