Word                           TF-IDF
-----------------------------------
wiread                         116.65780649229885
la                             59.90124357736694
learning                       57.46505165298668
dashboard                      56.513351038449215
problematics                   42.979191865583786
students                       40.937662484655945
critical                       36.45339512758561
reading                        35.90611498670569
el                             35.28459161273083
social                         27.982500133468974
literacy                       27.309778223153288
texts                          26.886397033017623
accounts                       19.896997893668306
dispositions                   18.82537481395925
lenses                         18.816560244483533
st8                            18.419653656678765
network profile                18.419653656678765
multiliteracies                18.156121533934186
evaluative                     17.642295806365414
singapore                      17.642295806365414
