Word                           TF-IDF
-----------------------------------
ksv                            104.37803738784633
lsa                            54.96958729303072
semantic                       40.892762159365134
analysis                       40.74230670260226
latent                         39.04983200525081
kissme                         36.83930731335753
network                        36.57165461821868
knowledge space visualizer     30.699422761131277
contributions                  30.665770256475504
learning                       28.031732513652038
nodes                          27.5881643225003
overlaid                       25.227866727287683
threshold                      24.510443816932618
documents                      24.098764888328297
landauer                       22.070448925479845
sna                            21.242016124281914
content                        21.180437799342073
social                         20.263189751822363
layout                         20.049677323335217
discourse                      19.893493309807848
