Word                           TF-IDF
-----------------------------------
tmta                           114.42669472557564
analytics                      49.72164253002389
vae                            49.11907641781004
learning                       49.05553189889107
multivocality                  37.633120488967066
dbre                           36.83930731335753
teachers                       32.8142437085927
teaching                       31.14236496698421
visual                         29.992444566032773
learner                        25.662241839733973
triadic                        25.240935273892745
cscl                           24.81821264586242
city                           23.771516647879572
collaborative                  23.471457150307398
model                          23.388744216682905
expert                         20.49986433503469
students                       20.096670674285647
pair                           19.722692428751223
pair analytics                 18.419653656678765
triadic model                  18.419653656678765
